Mutation A,Mutation B,Combo Win%,A Solo%,B Solo%,Synergy Δ,Flag
"Second Wind","Thorn Skin","100.0%","93.2%","93%","+6.8%","🔴 BROKEN"
"Assassinate","Second Wind","99.8%","87.6%","93.2%","+6.6%","🔴 BROKEN"
"Momentum","Thorn Skin","99.6%","76.6%","93%","+6.6%","🔴 BROKEN"
"Assassinate","Thorn Skin","99.4%","87.6%","93%","+6.4%","🔴 BROKEN"
"Thick Hide","Thorn Skin","99.2%","87.4%","93%","+6.2%","🔴 BROKEN"
"Corrosive Touch","Thorn Skin","99.0%","87.6%","93%","+6.0%","🔴 BROKEN"
"Second Wind","Brutal Strike","98.6%","93.2%","88.2%","+5.4%","🔴 BROKEN"
"Second Wind","Thick Hide","98.6%","93.2%","87.4%","+5.4%","🔴 BROKEN"
"Momentum","Second Wind","98.0%","76.6%","93.2%","+4.8%","🔴 BROKEN"
"Brutal Strike","Thorn Skin","98.0%","88.2%","93%","+5.0%","🔴 BROKEN"
"Corrosive Touch","Second Wind","97.8%","87.6%","93.2%","+4.6%","🔴 BROKEN"
"Assassinate","Brutal Strike","97.4%","87.6%","88.2%","+9.2%","🔴 BROKEN"
"Adrenaline Rush","Thorn Skin","97.2%","74.2%","93%","+4.2%","🔴 BROKEN"
"Bloodletting","Thorn Skin","97.0%","72.4%","93%","+4.0%","🔴 BROKEN"
"Corrosive Touch","Assassinate","97.0%","87.6%","87.6%","+9.4%","🔴 BROKEN"
"Corrosive Touch","Thick Hide","97.0%","87.6%","87.4%","+9.4%","🔴 BROKEN"
"Assassinate","Thick Hide","97.0%","87.6%","87.4%","+9.4%","🔴 BROKEN"
"Second Wind","Adrenaline Rush","97.0%","93.2%","74.2%","+3.8%","🔴 BROKEN"
"Second Wind","Lifetap","96.8%","93.2%","72.6%","+3.6%","🔴 BROKEN"
"Second Wind","Phantom Step","96.6%","93.2%","66.2%","+3.4%","🔴 BROKEN"
"Second Wind","Quick Reflex","96.4%","93.2%","76.6%","+3.2%","🔴 BROKEN"
"Brutal Strike","Thick Hide","96.4%","88.2%","87.4%","+8.2%","🔴 BROKEN"
"Echo Strike","Thorn Skin","96.0%","73%","93%","+3.0%","🔴 BROKEN"
"Second Wind","Echo Strike","95.8%","93.2%","73%","+2.6%","🔴 BROKEN"
"Quick Reflex","Thorn Skin","95.8%","76.6%","93%","+2.8%","🔴 BROKEN"
"Thorn Skin","Phantom Step","95.8%","93%","66.2%","+2.8%","🔴 BROKEN"
"Assassinate","Adrenaline Rush","95.4%","87.6%","74.2%","+7.8%","🔴 BROKEN"
"Corrosive Touch","Brutal Strike","94.8%","87.6%","88.2%","+6.6%","🔴 BROKEN"
"Momentum","Assassinate","94.2%","76.6%","87.6%","+6.6%","🔴 BROKEN"
"Corrosive Touch","Adrenaline Rush","93.8%","87.6%","74.2%","+6.2%","🔴 BROKEN"
"Momentum","Thick Hide","93.8%","76.6%","87.4%","+6.4%","🔴 BROKEN"
"Assassinate","Echo Strike","93.8%","87.6%","73%","+6.2%","🔴 BROKEN"
"Bloodletting","Corrosive Touch","93.6%","72.4%","87.6%","+6.0%","🔴 BROKEN"
"Bloodletting","Assassinate","93.6%","72.4%","87.6%","+6.0%","🔴 BROKEN"
"Bloodletting","Second Wind","92.8%","72.4%","93.2%","-0.4%","🔴 BROKEN"
"Assassinate","Berserker","92.6%","87.6%","72.6%","+5.0%","🔴 BROKEN"
"Echo Strike","Thick Hide","92.4%","73%","87.4%","+5.0%","🔴 BROKEN"
"Assassinate","Quick Reflex","92.2%","87.6%","76.6%","+4.6%","🔴 BROKEN"
"Corrosive Touch","Quick Reflex","92.0%","87.6%","76.6%","+4.4%","🔴 BROKEN"
"Brutal Strike","Echo Strike","91.8%","88.2%","73%","+3.6%","🔴 BROKEN"
"Brutal Strike","Phantom Step","91.8%","88.2%","66.2%","+3.6%","🔴 BROKEN"
"Corrosive Touch","Echo Strike","91.6%","87.6%","73%","+4.0%","🔴 BROKEN"
