Opponent Mutation,Rarity,Assassinate Win%,Avg Turns,Assassinate Hits,Verdict
"Bloodthirst","Rare","96.1%","10.3","0.61","🔴 Assassinate crushes"
"Bloodletting","Common","81.5%","11.6","0.97","🔴 Assassinate crushes"
"Berserker","Legendary","78.0%","11.0","0.86","🔴 Assassinate crushes"
"Phantom Step","Rare","77.5%","11.4","0.98","🔴 Assassinate crushes"
"Lifetap","Epic","76.8%","10.6","0.79","🔴 Assassinate crushes"
"Echo Strike","Epic","75.8%","11.5","0.95","🔴 Assassinate crushes"
"Momentum","Epic","75.2%","11.4","0.96","🔴 Assassinate crushes"
"Adrenaline Rush","Rare","73.6%","11.5","0.96","🔴 Assassinate crushes"
"Quick Reflex","Common","69.4%","12.9","0.97","🟠 Assassinate favored"
"Thick Hide","Epic","67.6%","13.3","1.04","🟠 Assassinate favored"
"Corrosive Touch","Epic","61.6%","11.3","0.90","🟠 Assassinate favored"
"Brutal Strike","Common","59.1%","11.1","0.89","🟠 Assassinate favored"
"Second Wind","Rare","46.6%","14.4","0.75","🟢 Even matchup"
"Thorn Skin","Rare","46.2%","10.9","0.81","🟢 Even matchup"
