Build A,Build B,A Win%,Avg Turns,Verdict
"STR Juggernaut","STR Berserker","47.4%","13.8","⚖️ Balanced"
"STR Juggernaut","AGI Assassin","83.5%","14.6","🔥 STR Juggernaut Dominant"
"STR Juggernaut","AGI Bleed","71.4%","14.3","🔥 STR Juggernaut Dominant"
"STR Juggernaut","INT Mage","40.1%","29.5","⚖️ Balanced"
"STR Berserker","STR Juggernaut","52.3%","13.8","⚖️ Balanced"
"STR Berserker","AGI Assassin","47.3%","8.3","⚖️ Balanced"
"STR Berserker","AGI Bleed","52.4%","8.7","⚖️ Balanced"
"STR Berserker","INT Mage","91.7%","8.9","🔥 STR Berserker Dominant"
"AGI Assassin","STR Juggernaut","16.5%","14.5","❄️ STR Juggernaut Dominant"
"AGI Assassin","STR Berserker","54.2%","8.2","⚖️ Balanced"
"AGI Assassin","AGI Bleed","76.5%","7.2","🔥 AGI Assassin Dominant"
"AGI Assassin","INT Mage","39.3%","10.9","❄️ INT Mage Dominant"
"AGI Bleed","STR Juggernaut","26.6%","14.1","❄️ STR Juggernaut Dominant"
"AGI Bleed","STR Berserker","47.3%","8.8","⚖️ Balanced"
"AGI Bleed","AGI Assassin","45.5%","7.3","⚖️ Balanced"
"AGI Bleed","INT Mage","45.2%","11.2","⚖️ Balanced"
"INT Mage","STR Juggernaut","65.4%","29.0","🔥 INT Mage Dominant"
"INT Mage","STR Berserker","7.3%","8.9","❄️ STR Berserker Dominant"
"INT Mage","AGI Assassin","59.6%","11.2","⚖️ Balanced"
"INT Mage","AGI Bleed","57.4%","11.1","⚖️ Balanced"
